ticker,model,horizon,alpha,l1_ratio,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,beta_stability,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio
AEX_NETHERLANDS,ENet-HAR-X,100,0.0316,0.9,0.00015306012183614198,8.833180050935868e-05,0.3974759804056887,0.6041297640134771,0.7084583083383323,0.00011060298126473097,0.18867601042080082,0.017792802760676518,7.387466684734053e-76,4.5897119922098276e-08,1.6948683928559103,0.09028726729989378,0.0,0.0,,-0.43834963463778137,3.1272407833036227e-09,0.13394921480786998,,,,9,0.0013501350135013501
CAC40_FRANCE,ENet-HAR-X,1,0.0316,0.1,0.0005865899179577934,0.00011731055162837254,0.4485153985217164,0.7576799061094407,0.8588169642857143,9.045602429400945e-05,0.34673386899644626,0.3437294388984993,2.4770734172407036e-26,6.253156135183026e-166,0.9690104792807834,0.3326707975273442,0.0,1.4110715038564881e-71,,0.4538782061174727,1.5634678721667473e-10,0.13266257725607014,,,,9,0.001256106071179344
CAC40_FRANCE,ENet-HAR-X,5,0.01,0.1,0.00030123195826304823,8.710161114919232e-05,0.28369117372192015,0.5625678137339828,0.8811383928571429,6.637598225621004e-05,0.5448080905760299,0.4074799053703313,1.5598494739594992e-25,1.0947320960403147e-205,-1.8917822639837025,0.058681186265441276,0.0,6.97638833405987e-162,,0.4759899996913485,1.4463923215670766e-11,0.13320934195494397,,,,9,0.001256106071179344
CAC40_FRANCE,ENet-HAR-X,10,0.00316,0.1,0.0002605742833140812,8.526583987721559e-05,0.28439743767457404,0.5507110200723516,0.8861607142857143,5.919283334029608e-05,0.6049035952165983,0.3432668054028487,5.64102522912241e-21,1.1757125447055945e-165,-1.8311604863360458,0.06724263581320944,0.0,0.0,,0.3320925542969433,5.254118319167007e-06,0.12670498957831275,,,,9,0.001256106071179344
CAC40_FRANCE,ENet-HAR-X,21,0.00316,0.1,0.00023850024630463519,8.773465226469246e-05,0.3239849826190384,0.5666564700935148,0.8487723214285714,6.59079645610907e-05,0.5605844166638689,0.19509803038424556,8.138096361763382e-24,1.859124341093531e-86,-1.3238190915625696,0.1857320719573785,0.0,0.0,,0.06954947169151311,0.35354900779364506,0.12212720830210413,,,,9,0.001256106071179344
CAC40_FRANCE,ENet-HAR-X,63,0.0001,0.1,0.00018223418376845253,8.992811832191459e-05,0.3914405364829071,0.5808235261103953,0.8130580357142857,8.972696041429222e-05,0.3794654132906436,0.06832423673041299,7.642127235142821e-46,2.2228767648984632e-29,0.5236312490208401,0.6005998262355838,0.0,0.0,,-0.25703468214039527,0.0004955230700030484,0.11829949239071323,,,,9,0.001256106071179344
CAC40_FRANCE,ENet-HAR-X,100,0.0001,0.5,0.0001608171155981055,9.298485993802255e-05,0.3747810308061433,0.600566265945346,0.7243303571428571,0.00010949051446482004,0.23538426353952027,0.025847429704120573,2.1939551888679762e-68,7.615428122833485e-12,1.309611348414037,0.19049531329077007,0.0,0.0,,-0.309149459345453,2.414055747968897e-05,0.11448072368579824,,,,9,0.001256106071179344
STI_SINGAPORE,ENet-HAR-X,1,0.1,0.9,0.00016271502550983875,7.214306856676523e-05,0.5697232648907411,0.6557567405991956,0.8193479422768573,-4.245032118209306e-05,1.0402655233336962,0.1826975674209872,2.148568132055515e-11,5.700295394703797e-84,-2.1002932246117085,0.035836683555678484,0.0,7.227373841574745e-54,,0.35556358938409083,5.919745862218376e-07,0.14061124039760953,,,,9,0.001202726179339837
STI_SINGAPORE,ENet-HAR-X,5,0.00316,0.9,0.00010036938727467598,4.3868094238133363e-05,0.2706214876494592,0.39874653331767124,0.9214323890967397,-3.7035626408722826e-05,1.2800154520511848,0.3319971140460102,3.1777626010711107e-20,5.759727452510001e-166,-3.183763445718153,0.0014776531874347576,0.0,0.0,,0.44379337808624414,1.9959104065306208e-10,0.12898317401366288,,,,9,0.001202726179339837
STI_SINGAPORE,ENet-HAR-X,10,0.0316,0.5,9.503734321141033e-05,4.454897479293996e-05,0.2609635268029322,0.4049355133850236,0.9428113308391235,-3.62718088925792e-05,1.2203029368535894,0.2530651218424155,8.665463730174773e-16,1.4011951533106508e-120,-4.203973830513967,2.7464531201060183e-05,0.0,0.0,,0.4311033953732488,7.306268072175669e-10,0.11894269722903202,,,,9,0.001202726179339837
