ticker,model,family,horizon,n_trees,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,tail_shape_y,tail_shape_yhat,tail_lambda_90,tail_lambda_95,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio,n_obs_total,n_train,n_test,n_features
CAC40_FRANCE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,10,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00022721144990043955,7.979322048083235e-05,0.2580405965345198,0.5153647217823222,0.8772321428571429,-1.0700281794170781e-05,1.1548331971197963,0.39753954787740287,0.12543524927293187,3.2467028485417676e-199,-1.9183667276563787,0.055223350661013804,0.0,0.0,,0.38433902280934595,1.0009886725850838e-07,0.8739853034240136,0.5737629719963913,0.5307262569832403,0.5730337078651685,,,,2100,0.2930914166085136,8957,7165,1792,8
CAC40_FRANCE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,21,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.0002162865626832801,9.14369664944146e-05,0.2902326942933818,0.5905688041421177,0.84375,4.390962641050062e-06,0.902061950808611,0.24392923304753167,0.5699215645640208,7.842648310857676e-111,-1.7963481795566667,0.07260762467154147,0.0,0.0,,0.12061071843781186,0.10679180059925111,0.8260148074539145,0.49505174135092056,0.46368715083798884,0.42696629213483145,,,,1400,0.19539427773900908,8957,7165,1792,8
CAC40_FRANCE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,63,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.00017479023300605865,9.678005283843747e-05,0.3618072786917041,0.6250784804097618,0.7427455357142857,6.945260239808995e-05,0.47108526524190164,0.0724121499710575,1.9051533468146458e-20,4.219560789274533e-31,-0.4594200678486725,0.6459882963177423,0.0,0.0,,-0.2598088312535856,0.0004281491180405461,0.6914327313117279,0.3565960759201635,0.18435754189944134,0.25842696629213485,,,,1400,0.19539427773900908,8957,7165,1792,8
CAC40_FRANCE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,100,200,2,0.05,0.8,0.8,5.0,5.0,0.0,0.00015641689935557977,9.896917768514257e-05,0.36000997590134914,0.6392174976191243,0.6389508928571429,0.00010205840830737842,0.26087738163389607,0.023811011212888644,7.193057312927008e-44,5.134345373314474e-11,0.9909307133751202,0.32185326820829907,0.0,0.0,,-0.32080574448472216,1.1299160148623756e-05,0.22936291319736474,0.309206635159804,0.1787709497206704,0.10112359550561797,,,,1400,0.19539427773900908,8957,7165,1792,8
STI_SINGAPORE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,1,300,2,0.05,0.8,0.8,10.0,10.0,1.0,0.00015060311961167088,4.506051292847373e-05,0.38491077455561945,0.40958522661616203,0.9059326563335115,-4.4792922282484346e-06,1.0501543964861972,0.2589668573975057,0.30401790082364555,8.357200103731091e-124,-2.7370185184799802,0.006258564585454707,0.0,2.245301015905157e-17,,0.4297435577463031,8.369815374511605e-10,0.701423980070565,0.7370907931894569,0.37967914438502676,0.41935483870967744,,,,2100,0.2806361085126286,9354,7483,1871,8
STI_SINGAPORE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,5,300,2,0.05,0.8,0.8,10.0,10.0,1.0,9.245263408865544e-05,3.558177624676963e-05,0.21733762426432057,0.32342663099668245,0.9150187065740246,-9.996408551393681e-06,1.0944752758462828,0.4100057065078241,0.0006569997867254194,2.0731392217986137e-216,-2.888969089425283,0.0039095669875302,0.0,0.0,,0.47467141845195066,6.728294635355747e-12,0.7589209322347439,0.6501502400162007,0.45989304812834225,0.5268817204301075,,,,2100,0.2806361085126286,9354,7483,1871,8
STI_SINGAPORE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,10,300,2,0.05,0.8,0.8,10.0,10.0,1.0,8.906397715875355e-05,3.5058791976257065e-05,0.20463753337590615,0.31867287616715806,0.9380010689470871,-2.8695942898994604e-06,0.9684273384987645,0.3132684508506074,0.3449015787275156,9.886963452966954e-155,-3.494374009542622,0.0004862412194883703,0.0,0.0,,0.4677237986834285,1.486350920296536e-11,0.9040135008252691,0.5709649474380121,0.4919786096256685,0.5806451612903226,,,,2100,0.2806361085126286,9354,7483,1871,8
STI_SINGAPORE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,21,200,2,0.05,0.8,0.8,5.0,5.0,0.0,8.676615841176125e-05,4.8784448475236866e-05,0.2611612173031375,0.44343457465279174,0.89470871191876,-2.4025276313057927e-06,0.7286266674792459,0.19007416656114506,0.5068552014896301,1.1687449499112682e-87,-4.254906834572933,2.194772228869546e-05,0.0,0.0,,0.13556174303371063,0.06432827799035495,0.9267529966953251,0.4661400242585762,0.49732620320855614,0.5053763440860215,,,,1400,0.18709073900841908,9354,7483,1871,8
STI_SINGAPORE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,63,300,2,0.05,0.8,0.8,10.0,10.0,1.0,6.878394688078628e-05,4.052871745841537e-05,0.2538690468853587,0.36839269785981393,0.8567610903260289,3.489407639184199e-05,0.37086621610939297,0.06593033981158514,1.0182280317807487e-34,1.4884355172858774e-29,-4.602491284567662,4.4553720970341715e-06,0.0,0.0,,-0.1723818996619675,0.018315894476323057,0.5919176661395755,0.3674945290926492,0.3582887700534759,0.25806451612903225,,,,2100,0.2806361085126286,9354,7483,1871,8
STI_SINGAPORE,XGB-QLIKE-HAR-X,XGB-QLIKE-HAR-X,100,300,2,0.05,0.8,0.8,10.0,10.0,1.0,6.44326794638123e-05,4.155634624833716e-05,0.25248141255346973,0.3777335052195864,0.8396579369321219,4.8816788012582624e-05,0.1777938008463517,0.01758634662385372,6.731062518345715e-71,8.520761195986203e-09,-3.647939317686875,0.0002715940505741976,0.0,0.0,,-0.019158845918101443,0.7946628648801837,0.258126342841174,0.2844428533503002,0.20320855614973263,0.07526881720430108,,,,2100,0.2806361085126286,9354,7483,1871,8
