ticker,start_date,end_date,type,label
NASDAQ,2007-10-01,2009-03-31,literature,Global_Financial_2008
NASDAQ,2010-11-01,2012-06-30,literature,Eurozone_2011
NASDAQ,2015-06-01,2016-02-29,literature,China_2015
NASDAQ,2020-02-01,2020-08-31,literature,Covid_2020
NASDAQ,1974-04-23,1976-02-12,data,drawdown_35%
NASDAQ,1976-04-09,1976-04-14,data,drawdown_35%
NASDAQ,1976-05-24,1976-06-16,data,drawdown_35%
NASDAQ,1976-11-08,1976-11-16,data,drawdown_35%
NASDAQ,2000-10-25,2000-10-30,data,drawdown_35%
NASDAQ,2000-11-08,2013-04-09,data,drawdown_35%
NASDAQ,2013-04-15,2013-04-24,data,drawdown_35%
NIFTY50,2008-02-08,2009-03-31,literature,Global_Financial_2008
NIFTY50,2010-11-01,2012-06-30,literature,Eurozone_2011
NIFTY50,2015-06-01,2016-02-29,literature,China_2015
NIFTY50,2020-02-01,2020-08-31,literature,Covid_2020
NIFTY50,2008-10-15,2009-04-23,data,drawdown_35%
NIKKEI225,1973-10-01,1974-03-31,literature,Oil_Crisis_1973
NIKKEI225,1987-10-01,1987-11-30,literature,Black_Monday_1987
NIKKEI225,1997-07-01,1998-03-31,literature,Asian_Financial_1997
NIKKEI225,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
NIKKEI225,2007-10-01,2009-03-31,literature,Global_Financial_2008
NIKKEI225,2010-11-01,2012-06-30,literature,Eurozone_2011
NIKKEI225,2015-06-01,2016-02-29,literature,China_2015
NIKKEI225,2020-02-01,2020-08-31,literature,Covid_2020
NIKKEI225,1990-08-22,1990-08-27,data,drawdown_35%
NIKKEI225,1990-09-04,1990-10-22,data,drawdown_35%
NIKKEI225,1990-10-30,1991-02-13,data,drawdown_35%
NIKKEI225,1991-06-05,2020-11-10,data,drawdown_35%
RUSSELL2000,1997-07-01,1998-03-31,literature,Asian_Financial_1997
RUSSELL2000,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
RUSSELL2000,2007-10-01,2009-03-31,literature,Global_Financial_2008
RUSSELL2000,2010-11-01,2012-06-30,literature,Eurozone_2011
RUSSELL2000,2015-06-01,2016-02-29,literature,China_2015
RUSSELL2000,2020-02-01,2020-08-31,literature,Covid_2020
RUSSELL2000,2001-09-20,2001-09-24,data,drawdown_35%
