ticker,model,horizon,n_obs_total,n_train,n_test,rmse,mae,qlike,mase_var,hit_rate,dm_stat,dm_p,mz_alpha_log,mz_beta_log,mz_r2_log,mz_alpha_log_p,mz_beta_log_p,jb_p,ljungbox_p,tail_corr,tail_corr_p,enc_beta2,enc_beta2_p,naive_level,naive_den,n_params,param_sample_ratio,garch_alpha_mean,garch_alpha_std,garch_beta_mean,garch_beta_std,garch_persistence,garch_nu_mean,garch_nu_std,q95_coverage,q95_coverage_err,q95_width
NASDAQ,GJR,100,13721,10976,2645,0.007633889314669068,0.007631681605848927,3.0563963476377607,38.246920547066345,0.42533081285444235,355.93699352583457,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,FIGARCH,1,13721,10976,2744,0.007659427697947887,0.007647108757146901,4.660787237410654,38.32423522821198,0.2602040816326531,176.53741682327356,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,0.9985422740524781,0.04854227405247813,0.0
NASDAQ,FIGARCH,5,13721,10976,2740,0.0076463345086870025,0.0076352988736198965,3.4820297422163784,38.26504883912294,0.32116788321167883,181.6712666713836,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,0.9989051094890511,0.048905109489051135,0.0
NASDAQ,FIGARCH,10,13721,10976,2735,0.007643537461126514,0.007634643767815419,3.355490792875826,38.261765712159864,0.3396709323583181,191.45769840068928,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,FIGARCH,21,13721,10976,2724,0.007640902092120218,0.007634501825677077,3.2577646556144977,38.26105435521813,0.35205580029368577,216.8476819216524,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,FIGARCH,63,13721,10976,2682,0.007636451960058948,0.007633260027231854,3.129095423715384,38.25483096056897,0.37583892617449666,298.8879751492179,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,FIGARCH,100,13721,10976,2645,0.007633889314669068,0.007631681605848927,3.0563963476377607,38.246920547066345,0.42533081285444235,355.93699352583457,0.0,,,,,,0.0,0.0,,,,,0.00015644508685780105,0.00019953715218608102,6,0.0005466472303206997,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,IGARCH,1,13721,10976,206,0.0075032153668759234,0.007487048075685796,3.8673583348533684,37.52207543136453,0.5048543689320388,95.77956920055678,0.0,,,,,,1.989381660788708e-119,0.04573752338694797,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,IGARCH,5,13721,10976,206,0.007476589583856539,0.007472455694551128,2.4526431634672483,37.44894428272981,0.7572815533980582,107.67168031205553,0.0,,,,,,1.0513113355845486e-10,2.5788708527152003e-95,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
NASDAQ,IGARCH,10,13721,10976,206,0.0074769828267752,0.00747405770893436,2.372185134232352,37.45697293486643,0.8592233009708737,119.47617336245528,0.0,,,,,,1.1278146978180376e-10,6.5709050402557e-159,,,,,0.00015644508685780105,0.00019953715218608102,5,0.00045553935860058307,0.1449116747490329,0.0253289110118667,0.8263746558222861,0.031900914980075336,0.9712863305713193,6.295850500802957,1.5766699241259299,1.0,0.050000000000000044,0.0
