ticker,thr,TPR,FPR_per_day,mean_delay_days,n_windows,true_positives,false_positives
DJIA,0.35,1.0,0.505428796223446,-8.555555555555555,9,9,3212
DJIA,0.39999999999999997,1.0,0.4950432730133753,-8.555555555555555,9,9,3146
DJIA,0.44999999999999996,1.0,0.4845003933910307,-8.555555555555555,9,9,3079
DJIA,0.49999999999999994,1.0,0.4752163650668765,-8.555555555555555,9,9,3020
DJIA,0.5499999999999999,1.0,0.46278520849724625,-8.555555555555555,9,9,2941
DJIA,0.6,1.0,0.45098347757671126,-8.555555555555555,9,9,2866
DJIA,0.65,1.0,0.43808025177025967,-8.555555555555555,9,9,2784
DJIA,0.7,1.0,0.425963808025177,-8.555555555555555,9,9,2707
DJIA,0.75,1.0,0.4147915027537372,-8.555555555555555,9,9,2636
DJIA,0.7999999999999999,1.0,0.4006294256490952,-8.555555555555555,9,9,2546
DJIA,0.85,1.0,0.383477576711251,-8.555555555555555,9,9,2437
DJIA,0.9,1.0,0.36097560975609755,-8.555555555555555,9,9,2294
DJIA,0.95,1.0,0.3310778914240755,-8.444444444444445,9,9,2104
EUROSTOXX50,0.05,1.0,0.6273448773448773,-10.133333333333333,15,15,1739
EUROSTOXX50,0.1,1.0,0.579004329004329,-9.666666666666666,15,15,1605
EUROSTOXX50,0.15,1.0,0.5440115440115441,-9.533333333333333,15,15,1508
EUROSTOXX50,0.2,1.0,0.5151515151515151,-9.4,15,15,1428
EUROSTOXX50,0.25,1.0,0.49422799422799424,-9.4,15,15,1370
EUROSTOXX50,0.3,1.0,0.47763347763347763,-9.2,15,15,1324
EUROSTOXX50,0.35,1.0,0.46320346320346323,-9.2,15,15,1284
EUROSTOXX50,0.39999999999999997,1.0,0.45021645021645024,-9.2,15,15,1248
EUROSTOXX50,0.44999999999999996,1.0,0.43722943722943725,-9.2,15,15,1212
EUROSTOXX50,0.49999999999999994,1.0,0.4274891774891775,-9.2,15,15,1185
EUROSTOXX50,0.5499999999999999,1.0,0.4116161616161616,-9.2,15,15,1141
EUROSTOXX50,0.6,1.0,0.39754689754689754,-8.533333333333333,15,15,1102
EUROSTOXX50,0.65,1.0,0.38636363636363635,-8.466666666666667,15,15,1071
EUROSTOXX50,0.7,1.0,0.373015873015873,-8.266666666666667,15,15,1034
EUROSTOXX50,0.75,1.0,0.3528138528138528,-8.266666666666667,15,15,978
EUROSTOXX50,0.7999999999999999,1.0,0.33585858585858586,-8.266666666666667,15,15,931
EUROSTOXX50,0.85,1.0,0.31962481962481964,-8.0,15,15,886
EUROSTOXX50,0.9,1.0,0.29473304473304474,-7.4,15,15,817
EUROSTOXX50,0.95,1.0,0.2554112554112554,-6.133333333333334,15,15,708
HANG_SENG_CHINA_ENT,0.05,1.0,0.7434869739478958,-10.4,20,20,371
HANG_SENG_CHINA_ENT,0.1,1.0,0.7234468937875751,-10.4,20,20,361
HANG_SENG_CHINA_ENT,0.15,1.0,0.6913827655310621,-10.35,20,20,345
HANG_SENG_CHINA_ENT,0.2,1.0,0.6793587174348698,-10.35,20,20,339
HANG_SENG_CHINA_ENT,0.25,1.0,0.6613226452905812,-10.35,20,20,330
HANG_SENG_CHINA_ENT,0.3,1.0,0.6452905811623246,-10.35,20,20,322
HANG_SENG_CHINA_ENT,0.35,1.0,0.6392785571142284,-10.25,20,20,319
HANG_SENG_CHINA_ENT,0.39999999999999997,1.0,0.6212424849699398,-10.05,20,20,310
HANG_SENG_CHINA_ENT,0.44999999999999996,1.0,0.6112224448897795,-10.05,20,20,305
HANG_SENG_CHINA_ENT,0.49999999999999994,1.0,0.593186372745491,-10.05,20,20,296
HANG_SENG_CHINA_ENT,0.5499999999999999,1.0,0.5871743486973948,-10.05,20,20,293
HANG_SENG_CHINA_ENT,0.6,1.0,0.5751503006012024,-10.05,20,20,287
HANG_SENG_CHINA_ENT,0.65,1.0,0.5651302605210421,-10.05,20,20,282
