ticker,model,horizon,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,beta_stability,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio
DAX_GERMANY,HAR-X,10,0.00024464214088330724,9.024349457948556e-05,0.3709949339553856,0.559117291079292,0.8601921024546425,-1.0591011442121248,0.8948449509738733,0.2980017118109918,0.0003497330090471468,4.995986457598164e-146,-2.0482354315068028,0.040676084322887274,0.0,0.0,3.9129536285798994e-45,0.5679682575802726,1.8917933957333523e-17,330.24857184959757,-4174.453050397647,5.635134532047125e-09,6.15330334057161e-05,13,0.0017344896597731821
DAX_GERMANY,HAR-X,21,0.00022548230960313755,8.499021156016175e-05,0.32090150116795885,0.556290872632291,0.8553895410885806,-1.6563943166874644,0.8267410798616216,0.2795327675703194,5.539372609275761e-09,1.8571202326029082e-135,-2.1604659822315178,0.030863072032552452,0.0,0.0,1.7995964551587064e-39,0.37361456510392677,1.2842439604220582e-07,348.5652952842363,-3903.4667855950706,7.87547245036949e-09,3.9197217442926204e-08,13,0.0017344896597731821
DAX_GERMANY,HAR-X,63,0.0001808857569653403,8.116520404857166e-05,0.3405227145800491,0.589440488522366,0.8223052294557097,-2.356152084572085,0.7494081707358903,0.19983024540406036,1.091554438163434e-13,9.838991976019034e-93,-1.4355950639420978,0.15128457424861042,0.0,0.0,6.57964940966295e-27,-0.06427587153494538,0.3808478354569991,288.6357654988688,-3515.264705254127,1.2951515428237342e-08,8.726308011524136e-19,13,0.0017344896597731821
DAX_GERMANY,HAR-X,100,0.00016123729315910225,8.233544146584079e-05,0.3570660347236685,0.6321429033445501,0.7988260405549626,-3.8735713411742307,0.581114090179438,0.1038181603165359,8.997471748392253e-27,1.5790673819960415e-46,-0.7674971326051251,0.44288273578313353,0.0,0.0,3.728096586691533e-20,-0.11929052730053981,0.10298566366452429,302.5852652275337,-3315.6433152164936,1.7564607129832008e-08,2.709231492285614e-30,13,0.0017344896597731821
AEX_NETHERLANDS,HAR-X,1,0.0004536766672273412,0.00011341197153829488,3.3624655866841775,0.5176046267444,0.8415300546448088,-1.2048071161852008,0.901072368549145,0.07871115750613344,0.14047599971424674,3.6165503163760235e-31,-1.7582591376752348,0.07888925728041918,0.0,4.329555234677613e-82,1.131577125385642e-06,0.40999652712846957,4.5304212654945556e-08,139.2046094402904,-8221.900891638,1.7098179366638209e-09,0.4449340846363913,13,0.001973284760170006
AEX_NETHERLANDS,HAR-X,5,0.0002310755171805676,7.909171817614977e-05,0.5829023897010783,0.4629498629111607,0.8724954462659381,-1.1806763659145172,0.8852029445878407,0.3063489292966879,0.0002059874268251652,7.737676330157621e-133,-2.564360011013921,0.010424663307211146,0.0,9.153665946289308e-256,1.8928509634732054e-41,0.45623380439718975,7.343851307084433e-10,60.026725228277556,-4770.921475349677,8.337863002417711e-09,7.99778794634082e-13,13,0.001973284760170006
AEX_NETHERLANDS,HAR-X,10,0.00020068001341543175,7.362173706069424e-05,0.43214015111983706,0.4521828391357061,0.8694596235579842,-1.770990780477027,0.819303704918678,0.31504229422297847,5.65596311027424e-10,2.3849234108144206e-137,-2.7210644357389353,0.006575744062622402,0.0,0.0,7.735277648556921e-48,0.40858066411989424,5.091233546514255e-08,7.205940759758423,-4325.100721302622,7.41098301574403e-09,1.5714992069261445e-12,13,0.001973284760170006
AEX_NETHERLANDS,HAR-X,21,0.00018845864825560262,7.197378307878192e-05,0.37330998290888584,0.4592643950345661,0.8743169398907104,-2.856010677889099,0.6988476807816852,0.27111940455508354,6.051495189202783e-26,4.086808091713011e-115,-3.247908204903278,0.001185981971797645,0.0,0.0,6.281650861493333e-37,0.12037774156492935,0.12352846492656407,3.2140236096770805,-4116.257875625117,8.917243852039017e-09,3.611790120059671e-17,13,0.001973284760170006
AEX_NETHERLANDS,HAR-X,63,0.00014832229909232685,6.691404962905005e-05,0.4035248936117768,0.46531504649881195,0.8524590163934426,-3.9200404007310246,0.5793500169971753,0.19635730494944215,2.4340077167444628e-45,3.6350772154193574e-80,-1.7812707711259748,0.07505257815057687,0.0,0.0,0.0002049075730175221,-0.2542676248230172,0.0009820037795662427,37.15750793354568,-3906.769543952062,1.1464475281780426e-08,1.9387763754373555e-28,13,0.001973284760170006
AEX_NETHERLANDS,HAR-X,100,0.0001341888746310076,6.980833238396618e-05,0.40422849557914425,0.5082433722454073,0.8160291438979964,-5.166225624497795,0.44313826948652046,0.10956995487310428,8.282963137744263e-66,2.0781093994815296e-43,-0.6780054116503402,0.49786355802579463,0.0,0.0,8.447285990148777e-07,-0.420158683514546,1.929292029470495e-08,16.887217631551867,-3734.3075109623283,1.5043488290030524e-08,2.6290980177368136e-50,13,0.001973284760170006
HANG_SENG,HAR-X,1,0.0006837403526070543,0.0002033917626610086,3.677432902019501,0.5716523521736785,0.7890250399573788,-2.838961319405409,0.7206949583081288,0.028877109087414254,0.0035654283836606673,1.2508310153589702e-13,2.382398684299253,0.017299369816982102,0.0,0.0002340179042123953,0.0928708669556372,0.26685774245223554,0.00021396888539522386,119.96202671392426,-8161.516589682508,3.567479196233841e-08,1.447811876204049e-09,13,0.0017317170640735314
HANG_SENG,HAR-X,5,0.0003391230453056139,0.00013667335385016585,0.43548707657221536,0.48504150287742215,0.8018114011720832,-2.099557053431224,0.7600211068188729,0.18532079582766448,2.0092287891132433e-10,1.5148661105623904e-85,-1.46534739591644,0.14299373312206276,0.0,0.0,1.6967245856938107e-13,0.28317503661683885,8.226263945249056e-05,92.92304743394719,-4373.572514948397,2.8410952675331256e-08,6.180745465213096e-17,13,0.0017317170640735314
HANG_SENG,HAR-X,10,0.00026938553975651886,0.00012084053752099981,0.3167849857899749,0.45219135413244366,0.8119339371337241,-2.599715735584894,0.6999349116530282,0.21345488279530178,5.078326234710182e-21,6.930936383578216e-100,-1.2052708062958446,0.22825078332993076,0.0,0.0,8.178860006126995e-28,0.22082978904005185,0.002324034457931662,106.87015089217942,-3750.184206860884,3.1653324483997375e-08,6.990692961834278e-28,13,0.0017317170640735314
HANG_SENG,HAR-X,21,0.0002153030828990584,0.00011317239780241348,0.2773859971592975,0.4433613238136047,0.8087373468300479,-3.4281620127350743,0.6011740738519876,0.18142261879766008,1.018686571547393e-38,1.3443253511135061e-83,-0.4037650266485146,0.6864315350600252,0.0,0.0,3.321986060384276e-39,-0.06699030353598563,0.3610188671173963,118.75907048802242,-3437.006475110973,3.7879822354253136e-08,1.7616304907700143e-51,13,0.0017317170640735314
HANG_SENG,HAR-X,63,0.00016525320353841697,0.0001086416472631676,0.23229228293840792,0.46024119640029204,0.7730420884389984,-5.69786554458479,0.3321419272917654,0.06266279808126363,6.932808688000134e-97,3.279782754673536e-28,1.3222963221974593,0.18623068460221814,0.0,0.0,1.2254974546317177e-83,0.17161242317687872,0.018530939063564556,149.9822687329856,-3204.8434725035922,5.190210435541502e-08,1.286615124912108e-141,13,0.0017317170640735314
HANG_SENG,HAR-X,100,0.00013932039622127488,9.991858335541217e-05,0.18221752065920668,0.45710147863430156,0.6798082045817795,-6.077342144758769,0.2846498777788728,0.04751949296320668,1.6933145591422853e-110,1.258971449264424e-21,1.6961778800383125,0.09001810725058057,0.0,0.0,4.170076721358966e-105,-0.17668730935314164,0.015284305205544585,146.98143626690154,-3012.1445380236532,5.274562664722849e-08,6.258196459783912e-183,13,0.0017317170640735314
SENSEX,HAR-X,1,0.0006563472908555099,0.0001256747118283976,3.1734776447439046,0.4803697689182926,0.8856932153392331,-0.8994646452004695,0.9271547107064216,0.08747140481881777,0.30217448985099343,8.886009219271355e-29,-1.6221048268257268,0.10501353871986607,0.0,7.811160708616724e-88,1.4071924095167757e-22,0.4619865464433948,1.5004554618662387e-08,212.90060280440704,-8101.894850116971,1.6362709652139814e-08,2.8446912037703588e-05,13,0.002397197123363452
SENSEX,HAR-X,5,0.0003681566077554569,9.572421210549328e-05,0.472752403113739,0.4809437261138013,0.922566371681416,-1.0097844956737674,0.9067108466404992,0.3257506352988564,0.0030657998356702475,4.902945683925546e-118,-1.7910450628251204,0.07350919380010867,0.0,0.0,3.434971311166819e-102,0.4304422498926577,1.690970488289527e-07,145.53942000005534,-5300.345708297046,7.712904458726135e-09,0.0012160996789720906,13,0.002397197123363452
SENSEX,HAR-X,10,0.0003402079924548533,8.752378181584024e-05,0.3554767142264928,0.47025477930798004,0.9255162241887905,-0.9924062449072519,0.9058532758398762,0.39856000865189845,0.0005417629732390049,1.1181762066912553e-151,-2.0349192772255553,0.042053318012542196,0.0,0.0,7.823649244242886e-68,0.3667811650207528,1.1234092207233373e-05,188.00067127243466,-4973.884466421052,3.2098690439040667e-09,0.16881533863461826,13,0.002397197123363452
SENSEX,HAR-X,21,0.00031635777161034216,8.66820531843492e-05,0.4056538235113596,0.49525566136535754,0.9085545722713865,-1.3006302343747251,0.8736341987583219,0.3740028066932233,6.461986758048448e-06,6.7388226224006955e-140,-2.31570790449688,0.02072291349170019,0.0,0.0,7.182354985564018e-19,0.3225943418730022,0.00012800804826140338,163.8488699794676,-4726.581307204632,6.332553777000887e-09,0.0076588292856543515,13,0.002397197123363452
SENSEX,HAR-X,63,0.00023242388052382618,9.19243582216217e-05,0.45504547337020707,0.5624888429615559,0.9255162241887905,-3.1786977526361233,0.6751418355760713,0.21621408691197808,2.648194017226765e-22,1.094287198955375e-73,-1.3146479505030286,0.18885071273918008,0.0,0.0,9.361499227424252e-06,-0.11728448070225655,0.1738825792397905,54.735650885369616,-4377.951621962289,1.7134545008180014e-08,4.0893334545652635e-18,13,0.002397197123363452
SENSEX,HAR-X,100,0.00016826484147788227,7.988315115569672e-05,0.32403727074465566,0.4963983783436432,0.9129793510324484,-4.007066169821616,0.5909871562814407,0.17813743083857214,3.880884011636311e-35,1.0672520987564117e-59,-2.016186817818362,0.04397746447520978,0.0,0.0,2.513147808578979e-19,-0.16822670674109055,0.05026394381752828,67.38312344831839,-4239.034650333152,1.6903774716567415e-08,4.9175854883988086e-29,13,0.002397197123363452
RUSSELL2000,HAR-X,1,0.0008606301953186566,0.00022432367218083916,2.948390099266574,1.13773698659615,0.6971307120085016,-0.6118991572340576,0.9342064164959079,0.10647105453455719,0.327973847961215,6.185579514655193e-48,-1.3700518743515335,0.1708342109141241,0.0,6.078160322044101e-189,2.1294531102628158e-42,0.2847117794486216,7.167191775604481e-05,348.75537583969856,-5558.330198779129,1.5160558498934174e-08,5.131402616515084e-06,13,0.0017273452032952432
RUSSELL2000,HAR-X,5,0.0005806643845325351,0.00015623150712006673,0.43495887670312944,1.0229505302078694,0.701912858660999,-0.8243905757769157,0.9032478968580241,0.40124793646890144,0.0003204388231682476,1.1883793333289944e-211,-1.3438042676612358,0.17917375811328662,0.0,0.0,2.446737969871871e-105,0.512902824436979,4.503790243447311e-14,375.86177318181115,1945.332347724542,1.9584655796725486e-08,1.3331916223659131e-17,13,0.0017273452032952432
RUSSELL2000,HAR-X,10,0.0005491351576303433,0.00014578725008169833,0.35414351066126143,1.0120275894956992,0.6976620616365569,-1.2236596073773562,0.8536444574484426,0.42215756917685066,2.7968634962156525e-09,3.569553427329999e-226,-1.0557150010507967,0.29123401509476254,0.0,0.0,9.560316990280236e-80,0.5075525693666791,9.071771486806172e-14,245.79083314445987,2445.3244585755774,2.2396739421178952e-08,3.838509922959692e-25,13,0.0017273452032952432
RUSSELL2000,HAR-X,21,0.0004763450138407959,0.00014153125788105028,0.46084886679401166,1.029927735803257,0.6865037194473964,-2.056427870055658,0.7538587811793653,0.3568093468345689,8.390083293196009e-23,2.1257463265446483e-182,-1.0615427838347202,0.2885795742901278,0.0,0.0,5.66484578373866e-56,0.2792993121100624,9.94222866218367e-05,34.649242119414225,2246.19768482248,2.3710126535641923e-08,1.0133699271266905e-32,13,0.0017273452032952432
RUSSELL2000,HAR-X,63,0.00036284304237716873,0.00014100218576466007,0.9609499150384049,1.1023684341617481,0.6354941551540914,-5.468876939764803,0.3560759662007968,0.08245308913668059,5.2663073275708416e-101,4.728785152037698e-37,0.6380571206579828,0.5235141645894652,0.0,0.0,2.1686255576946233e-36,-0.20248493574361434,0.005202107763222271,297.3313172091808,1741.0820479335587,2.981547444260324e-08,7.227837526772358e-65,13,0.0017273452032952432
RUSSELL2000,HAR-X,100,0.00031835276514643915,0.00013947057868555536,0.9310536243133044,1.1245730103529175,0.5786397449521785,-7.2645635896417655,0.14463678010122716,0.013520861396527195,2.3273317376498478e-153,4.23135047133604e-07,2.2021247790961618,0.027777461780904344,0.0,0.0,8.00535878895206e-51,-0.4953216374269006,4.2984022305122977e-13,429.1974152928747,1309.5487206387725,3.554544994089594e-08,1.4690031386148673e-95,13,0.0017273452032952432
SP500,HAR-X,1,0.0005724068262199101,0.0001409864805438898,3.839343634121984,0.7758470960854664,0.8022564102564103,0.26209518135358134,1.0263764582313433,0.14002452675999644,0.5099843836682503,7.238856778514806e-162,-1.9430385306406088,0.0520690071798946,0.0,0.0,9.441924912422282e-103,0.4768105304961072,4.540838879170457e-29,78.33421704930305,-7314.249751136132,1.592383596722013e-08,2.6310802035306066e-42,13,0.0006667008564541771
SP500,HAR-X,5,0.00048770126191050066,0.00010289942725300947,0.5928057546785158,0.6964137753275348,0.8332307692307692,-0.0814629489848266,0.9891646551889025,0.45886275596718173,0.5884044653219307,0.0,0.72343486406657,0.469447474472688,0.0,1.314303287348038e-113,2.999710846054327e-181,0.4808604115325942,1.3257120201781828e-29,193.43996608018833,-2097.1929269525626,1.6333941400499998e-08,6.530447209598238e-96,13,0.0006667008564541771
SP500,HAR-X,10,0.00036477808247269963,9.447801692971394e-05,0.4738847760586232,0.671290624560101,0.8393846153846154,-0.5181034570748677,0.9418054231658909,0.48826379352021376,0.00010462647272042662,0.0,-0.15572555479025918,0.8762558019612114,0.0,0.0,9.101037268277228e-197,0.4214062249276731,1.981608478095596e-22,165.67457121122678,-1904.7212169173106,1.3342276925590217e-08,1.0784781218385164e-80,13,0.0006667008564541771
SP500,HAR-X,21,0.0003022513874963077,9.262167605935599e-05,0.49128420594201777,0.6859896379361397,0.8342564102564103,-1.1561341152647036,0.8712451928898666,0.453533923560147,1.8209981885315306e-18,0.0,-1.660854592610707,0.09680697271585226,0.0,0.0,2.6729177514054866e-185,0.25534117364253456,1.0570210835279886e-08,116.51816701759523,-2094.873831633919,1.0723911690548746e-08,3.731154652744879e-59,13,0.0006667008564541771
SP500,HAR-X,63,0.0002468394958337754,9.271145391583062e-05,0.6698382163496113,0.7285347693983296,0.7874871794871795,-2.2500828358006473,0.7479389608218638,0.3157799911441431,8.569459480479386e-50,0.0,-2.0211888733297263,0.04331477601062517,0.0,0.0,5.63068730880786e-54,0.11143146324191633,0.013779393035760203,81.1113607470496,-2647.1279935057423,9.583011657262861e-09,2.691235990472302e-52,13,0.0006667008564541771
SP500,HAR-X,100,0.0002242356985732966,9.476378939819083e-05,0.7293798118885412,0.7660304186855145,0.7729230769230769,-3.260217969397714,0.6371003659520115,0.21677684878250203,2.55968734791041e-84,6.946278631518058e-261,-1.1462868820289893,0.2517327414730224,0.0,0.0,3.8310639671124034e-33,0.13358267380743755,0.003110196794466754,71.1916463025726,-2785.2529416341713,1.0715420743591042e-08,2.715873916045831e-67,13,0.0006667008564541771
HANG_SENG_CHINA_ENT,HAR-X,1,0.0008969463044609783,0.00026604126983862715,3.3567058842926594,0.4524326774720133,0.8462033462033463,-1.255015853955911,0.8753414445379906,0.047099812899093596,0.19871623648619582,5.07253924257018e-18,-0.45795363818602425,0.6470498166433905,0.0,2.837726166092661e-09,0.00015856388888562778,0.24242069826618826,0.0022953043163403673,7.730812808392558,-8534.14589013842,1.412030183278575e-08,0.38903995567421734,13,0.0020927237604636186
HANG_SENG_CHINA_ENT,HAR-X,5,0.00046481051654857395,0.00018070751940108524,0.43804720580033063,0.39463025512526073,0.8835263835263836,-1.2471387073140587,0.8567699088202323,0.2411570979071942,0.0001878717452139462,4.095012299478638e-95,-4.8815961143978415,1.160636077024435e-06,0.0,0.0,2.0136502956223856e-11,0.2525011458646141,0.0014724147168861613,6.987221138375564,-5585.55076963332,3.9672357924519333e-08,3.506323596977121e-05,13,0.0020927237604636186
HANG_SENG_CHINA_ENT,HAR-X,10,0.000372111915059323,0.00016687555462977706,0.33077746721333523,0.39346726733575066,0.8783783783783784,-1.7378453569227807,0.7988589102301804,0.2697397920100105,1.1288240474499656e-09,4.454965294257312e-108,-4.127430330861387,3.8631396347188485e-05,0.0,0.0,1.7550470073526757e-12,0.06588800556337025,0.41380790691872726,3.418412918654728,-5013.272160776184,6.046359774553839e-08,1.1659780103248377e-13,13,0.0020927237604636186
HANG_SENG_CHINA_ENT,HAR-X,21,0.0002965803000987413,0.0001625393884512087,0.292992985013537,0.4124876189279291,0.8693693693693694,-2.5938462851608524,0.6958262248528437,0.23688033409539955,9.28058853695236e-22,3.2371069956199683e-93,-3.3943612486358203,0.0007052096474211567,0.0,0.0,8.098956802689721e-14,-0.4650535000237075,9.57238114386972e-10,25.767880542874916,-4592.964756010432,8.061583772829197e-08,1.372073413646292e-33,13,0.0020927237604636186
HANG_SENG_CHINA_ENT,HAR-X,63,0.0002363294602561389,0.00016586666871500587,0.2621411140426437,0.45453794204668446,0.7702702702702703,-5.064770305447203,0.39314482216147,0.08796217584502086,3.2459807989294033e-72,6.329899189248801e-33,-2.163984209052681,0.03061759027478006,1.7379567530790456e-38,0.0,3.836866969741727e-30,0.010813800951462754,0.8934168175960729,39.97531579111959,-4173.892856344052,1.1975775274842498e-07,2.6289625196583287e-115,13,0.0020927237604636186
HANG_SENG_CHINA_ENT,HAR-X,100,0.0002057134792010573,0.00015361078247120885,0.20764611054805052,0.4319806077968154,0.7676962676962676,-5.673848500994911,0.31454061072739214,0.06364661829609164,1.9574836324319503e-96,5.4675135407368876e-24,-2.323330423391565,0.02028998338139254,2.3768724645290847e-13,0.0,9.835221387120455e-51,-0.32491346746534744,3.497679643510276e-05,27.498737338152498,-4004.527127294443,1.2723869389837674e-07,3.808523211467094e-166,13,0.0020927237604636186
